brightness,contrast,saturation,sharpness,dominant_color_1,dominant_color_2,dominant_color_3,image_name,raw_rating,rating
109.39,55.21,43.06,1614.89,"[108, 105, 98]","[183, 185, 191]","[49, 42, 38]",living_1200.jpg,273.3825,1.39
151.33,54.34,56.27,3494.15,"[83, 67, 52]","[209, 202, 195]","[150, 134, 120]",living_1201.jpg,563.4134999999999,1.88
123.51,71.3,121.64,2728.82,"[201, 199, 179]","[41, 29, 21]","[141, 121, 90]",living_1202.jpg,456.79050000000007,1.7
173.44,54.39,42.29,1988.93,"[173, 163, 145]","[79, 68, 52]","[236, 237, 236]",living_1205.jpg,338.85749999999996,1.5
173.42,51.37,49.12,3418.78,"[228, 220, 212]","[105, 85, 68]","[174, 159, 143]",living_1206.jpg,553.9035,1.87
109.69,52.11,66.63,2945.08,"[157, 148, 143]","[37, 30, 30]","[107, 89, 78]",living_1207.jpg,476.0265,1.73
121.17,87.67,44.24,1840.49,"[236, 236, 238]","[38, 32, 29]","[156, 153, 152]",living_1208.jpg,314.03549999999996,1.46
181.51,53.39,39.76,1489.65,"[127, 90, 67]","[188, 184, 179]","[253, 253, 253]",living_1209.jpg,264.6465,1.37
121.13,61.03,87.17,1896.32,"[66, 41, 34]","[129, 107, 85]","[222, 207, 192]",living_121.jpg,324.84749999999997,1.48
155.77,71.27,50.87,3223.54,"[79, 77, 56]","[243, 241, 237]","[181, 173, 157]",living_1210.jpg,525.2175,1.82
147.94,63.76,56.71,4067.03,"[48, 33, 29]","[205, 195, 185]","[148, 128, 114]",living_1211.jpg,650.3159999999999,2.03
111.11,56.52,80.42,835.33,"[119, 88, 74]","[25, 19, 13]","[156, 149, 142]",living_1212.jpg,162.507,1.2
138.83,68.62,105.97,2406.01,"[231, 214, 203]","[77, 51, 33]","[155, 122, 93]",living_1213.jpg,407.9145,1.62
145.33,71.98,77.06,2001.75,"[154, 143, 122]","[60, 49, 34]","[233, 237, 236]",living_1214.jpg,344.418,1.51
109.19,75.16,38.56,2651.21,"[56, 47, 45]","[250, 251, 250]","[151, 152, 150]",living_1215.jpg,431.11799999999994,1.66
174.45,65.06,46.0,3355.29,"[103, 81, 70]","[235, 233, 231]","[172, 159, 154]",living_1216.jpg,546.12,1.85
